Manual Annnotated Label(s)	Query
language	should a question mark be inside brackets
language	should senior citizen be capitalized
language	should cc be capitalized in a letter
language	should as well as be hyphenated
language	should we be capitalized in a title
language	should personal statements be in first person
language	should thus be
language	should a glossary be in alphabetical order
language	should the word county be capitalized
language	should seven wonders of the world be capitalized
language	should and would meaning in hindi
language	should not give importance quotes
language	should a colon go inside quotation marks
language	should it be a capital letter after a semicolon
language	should have/ ought to have
language	should music titles be in quotes
language	should optometrist be capitalized
language	should a quote be in italics
language	should titles of plays be in quotes
language	should better do
language	should project names be italicized
language	should womens have an apostrophe
language	should bulleted lists have periods
children	should a five year old read
investing	should reits be in your portfolio
investing	should investors include commodities in their portfolios after all
investing	should roi be over 100
investing	should investors have suspected the continuing higher levels of returns that never faltered
incomplete	should result in
incomplete	should not be held
incomplete	should consider
heath	should blood pressure change after exercise
health, repairs	should a smoke alarm be in the kitchen
health, food	should bodybuilders drink milk
health, food	should elderberry syrup be taken daily
health, food	should alcoholics cook with wine
health, food	should turmeric be taken on empty stomach
health, fashion	should women shave armpits
health, debate	should humans nap
health, baby	should carseat go in middle or side
health, baby	should pregnant women have iodine rich foods
health, baby	should my c section incision be swollen
health	should the contraceptive implant hurt
health	should gfr be fasting
health	should a diabetic eat beans
health	should a person with dementia be moved
health	should a tooth extraction hurt after 3 days
health	should liquid morphine be refrigerated
health	should nurses wear gloves when giving injections
health	should tv be high or low
health	should yiu have sex with a yeast infection
health	should a polyp be removed
health	should u take zoloft with food
health	should husband go to postpartum appointment
health	should a man be treated for yeast infection
health	should back of throat be smooth
health	should eat carbs after workout
health	should my industrial piercing be swollen
health	should parkinson's patients drive
health	should cbd oil be taken in the morning or at night
health	should croup be treated with steroids
health	should fingering yourself hurt
health	should 6 beers get me drunk
health	should older people be revaccinated for measles
health	should track runners lift weights
health	should football players run long distance
health	should men use evening primrose oil
health	should joints be tight or loose
health	should coenzyme q10 be taken with food
health	should women do bench press
health	should braggs liquid aminos be refrigerated
health	should borderline hypothyroidism be treated
health	should cla be taken on an empty stomach
health	should blood group match for liver transplant
health	should compression stockings be worn 24 hours a day
health	should my tattoo bleed ink
health	should kids be scared of momo
health	should my vagina be dark
health	should girls do benchpress
health	should we fast
health	should mdma be sticky
health	should retainers be loose
health	should tissue samples be saved or destroyed after profiling
health	should buy house radon affected area
health	should a lipid panel be done fasting
health	should eliquis be taken on an empty stomach
health	should my boyfriend be treated for bv
health	should zinc be taken with calcium
health	should my knees hurt after squats
health	should the inside of the vagina be bumpy
health	should skateboarders wear helmets
health	should anti itch cream burn
health	should face feel tight after washing
health	should diabetics have sugar alcohol
health	should a healthy man take viagra
health	should mild osa be treated
health	should hydrogen peroxide be used to clean wounds
health	should folic acid be taken before or after meals
hate	should gays die
grooming	should people with fine hair use conditioner
grooming	should pubic hair be shaved
grooming	should foundation be lighter than concealer
gardening	should tulips be fertilized in the spring
gardening	should calla lilies be cut back
gardening	should bare root strawberries be soak before planting
gardening	should phlox be cut back in the fall
gardening	should succulents be inside or outside
gardening	should my orchid roots be exposed
gardening	should baby's breath be in water
gardening	should pepper seeds be dried before planting
gardening	should plants be watered in the sun
gardening	should coreopsis be cut back
gardening	should crepe myrtles be trimmed every year
food, children	should kids eat snacks
food, children	should children drink milk
food	should herbs be in direct sunlight
food	should we heat ghee
food	should bread be kept in fridge
food	should oats be eaten raw
food	should buttercream icing be refrigerated
food	should schools have extra recess
food	should beef be covered when resting
food	should the fat side be up on a brisket
food	should we eat hot food
food	should women take protein shakes
food	should matcha be refrigerated
food	should we drink water after drinking milk
food	should nene leakes be fired
food	should peas be organic
food	should amaranth be rinsed before cooking
food	should fresh basil be refrigerated
food	should u eat kiwi skin
food	should a bread box be ventilated
food	should butternut squash be refrigerated
food	should peach cobbler be runny
food	should lantus be kept in the fridge
food	should okra seeds be brown
food	should pears be refrigerated
food	should bread be in the fridge
food	should we cook oats
food	should champagne bottles be stored on their side
food	should a pork tenderloin be covered when baking
food	should salmon be room temp before grilling
food	should ice be clear or white
fashion, health	should we heat oil before applying to hair
fashion	should your shirt match your shoes
fashion	should eyelash primer dry before applying mascara
fashion	should your dress shirt have a pocket
fashion	should nexium be taken long term
fashion	should hat match shoes and bag
fashion	should doors and windows match
fashion	should small rooms be painted dark or light
fashion	should men shave thier legs
fashion	should men wear suspenders
fashion	should ottoman be same height as chair
fashion	should a polo shirt be tucked in
fashion	should fat girls wear thongs
etiquette, religion	should christians eat red meat on good friday
etiquette, religion	should christians keep the passover
etiquette, relationships	should guy or girl text first
etiquette, debate	should leos date libras
etiquette	should guys hug over or under
etiquette	should your husband say happy mother's day
etiquette	should cousins be invited to a wedding
etiquette	should a couple text all day
etiquette	should my boyfriend buy me a mother's day gift
etiquette	should the man always make the first move
etiquette	should resume include gpa
etiquette	should the groom's parents be on the wedding invitation
etiquette	should cv have a photo
etiquette	should a pastor be paid for a funeral
decor	should lamps match in living room
decor	should curtains sit on window sill
decor	should basement floor match upstairs
decor	should curtains be double width of window
decor	should antique brass be polished
debate,health	should elderly people stop driving
debate, tech	should google continue making phones
debate, religion	should wives submit to husbands
debate, kids	should parent give children more freedom
debate, health	should we prepare for a zombie apocalypse
debate, health	should children be vaccinated
debate, health	should teenagers be allowed to have plastic surgery
debate, health	should teenagers wear contact lenses
debate, health	should an alcoholic ever drink again
debate, health	should life support be used or not and why
debate, finances	should my husband and i file separately
debate, etiquette	should church employees tithe
debate, children	should children be allowed to use computers
debate, children	should teens have a bed time
debate, children	should parents be involved in their children's relationships
debate	should the federal government subsidize the production and consumption of renewable energy sources
debate	should there be an ethics to technology
debate	should immigrants keep their culture
debate	should we increase nasa funding
debate	should the creativity of students be recognized and approved in more simple projects
debate	should we invest in idfc bank
debate	should we use population control
debate	should polygamy be allowed
debate	should employees pay for uniforms uk
debate	should we biuld the wall
debate	should pellet guns be banned
debate	should uniforms be worn at school
debate	should teachers be able to carry firearms in school
debate	should violent video games be censored
debate	should nicotine be a controlled substance
debate	should scotland go independent
debate	should the us provide universal health care
debate	should adolescents be allowed to make their own life and death decisions
debate	should marijuana be legal
debate	should student learn a second language
debate	should teenage mothers stay at home
debate	should the queen step down
debate	should live export be banned
debate	should we scare our kids
debate	should younger kids be able to vote
debate	should a cat's breath smell
debate	should teachers give students much homework essay
debate	should we medicate for adhd
debate	should my concealer match my foundation
debate	should corruption be made a capital offence
debate	should the environment be protected
debate	should we live in space
debate	should businesses continue to focus on unlimited economic growth
debate	should we support tiger woods
debate	should polygamy be legal in australia
debate	should the us have entered ww2 before pearl harbor
debate	should library use digital gadgets pte essay
debate	should kids get participation awards
debate	should the us abolish the estate tax
debate	should we imprison animals
debate	should newscasters advertise products
debate	should the pentagon papers have been published
debate	should american be allowed to possess the gun
debate	should boys and girls be separated in school
debate	should cultures be preserved
debate	should citizens trust our government to protect our civil liberties
debate	should we raise the age of consent
debate	should animals be researched on
debate	should corporations pay tax
debate	should democracy be fun
debate	should the holocaust be taught in middle school
debate	should women be allowed to fight on the front line
debate	should we lease or buy a car
debate	should canada continue to belong to nato
debate	should there be a wealth cap
debate	should canada lower the voting age
debate	should we get rid of the two party system
debate	should india buy f35
debate	should rape be legalized
debate	should smoking become illegal
debate	should the advertising of alcohol be banned
debate	should we discourage the use of plastic bags
debate	should an employer be able to fire an employee if the latter is often ill
debate	should sugar be allowed in school
debate	should poetry be removed from the english curriculum
debate	should slime be allowed in school debate
debate	should students be allowed to have backpacks in school
debate	should your career be your passion
debate	should students be allowed to eat lunch outside
debate	should cricket be an olympic sport
debate	should they pay college athletes
debate	should not hold any office of profit
debate	should education be a right or a privilege essay
debate	should genetically engineered food products require special labels why or why not
debate	should vending machines be in schools
debate	should marijuana be a schedule 1 drug
debate	should the us intervene in foreign conflicts
debate	should we have armed guards in schools
debate	should active euthanasia be legalized worldwide
debate	should busking be regulated in hong kong
debate	should teenager have credit card
debate	should there be ethical constraints on the pursuit of scientific knowledge
debate	should social media be regulated as a public utility
debate	should the us flag be on the right or left
debate	should school uniforms be required debate
debate	should men be able to vote on abortion
debate	should government spend money on improving roads and highways
debate	should the u.s. remain in the united nations
debate	should schools limit students online speech
debate	should young offenders go to prison
debate	should a jury system be used in court
debate	should cheaters be given a second chance
debate	should students wear school uniform in schools
debate	should the defacing and vandalism of statues be an acceptable behaviour in society today
debate	should amazon spin off aws
debate	should physical education be required to graduate high school
debate	should adultery be a crime punishable by law
debate	should employers cover birth control
debate	should juvenilles be tried as adults
debate	should leagues regulate the profits of member franchises
debate	should school teach children how to cook
debate	should gun control be illegal
debate	should managers monitor employee email and internet usage why or why not
debate	should worship be restricted to a particular time and place
debate	should basic life skills be taught in school
debate	should students get more recess
debate	should artificial intelligence be used in teaching and learning
debate	should a white man be the face of democratic party
debate	should a convicted criminal make restitution to the victim
debate	should student attend classes
debate	should the united states have helped germany recover from world war ii
debate	should there be any limits on freedom of expression
debate	should people read news from newspaper or internet
debate	should speeding tickets be based on income
debate	should teachers give less homework
debate	should college athletes be paid news
debate	should gmo foods be labeled pros and cons
debate	should schools have libraries
debate	should sports be mandatory in school
debate	should we protest
debate	should states have the power to decide what rights they want to protect why or why not
debate	should we ban the use of animals for entertainment
debate	should james gunn have been fired
debate	should self driving cars be illegal
debate	should courts be more willing to lift the corporate veil
debate	should have the us dropped the atomic bomb
debate	should history be made a compulsory subject at school
debate	should marijuana legalized in the philippines
debate	should maximum security have been disqualified from the kentucky derby
debate	should we raise the drinking age to 25
debate	should animals be used for dissection
debate	should art be banned from school
debate	should celebrities pay more taxes than average workers
debate	should parents respect their kids
debate	should we have zoos newsela
debate	should hijabs be banned
debate	should pedophiles be put to death
debate	should happiness be the purpose of life
debate	should there be restrictions on prenatal testing
debate	should we give beggars money
debate	should government censor the internet
debate	should there be stricter rules on how coaches treat their players
debate	should animals be kept in zoos article
debate	should osama have been tried
debate	should unpermitted streaming and downloading of music or movies be illegal
debate	should children have to be vaccinated
debate	should students be allowed to sleep in school
debate	should we use electric cars
debate	should the alcohol drinking age be increased or decreased argumentative essay
debate	should we allow corporal punishment in schools
debate	should celebrities be role model
debate	should muller testify
debate	should smoking be banned in public places persuasive essay
debate	should the electoral college be removed
children, health, food	should teens snack
children, health	should my son wear a cup for soccer
children, debate	should children have bedtime
children	should my child see a therapist or psychologist
children	should kids be allowed to draw on walls
children	should children wear coats in car seats
children	should 18 year old have curfew
children	should a three year old snore
children	should a ten year old play fortnite
children	should we have a fourth baby
children	should my 4 year old go to kindergarten
baby, pets	should dogs be around babies
baby, health	should cavities be filled in baby teeth
baby	should baby respond to name every time
baby	should my newborn be sleeping so much
baby	should baby be changed before or after feeding
baby	should my baby be able to hold his head up at 3 months
baby	should my baby be wearing shoes
baby	should infant nap in crib
baby	should carseat be placed in the middle
baby	should my 2 year old still be having milk
baby	should kids play with nerf guns
baby	should infants have water
baby	should my abdomen feel early pregnancy
baby	should baby be head down at 26 weeks
baby	should a one month old be on a schedule
baby	should 22 month old talking
baby	should baby drain breast
baby	should babies sleep in a bassinet
baby	should my stomach feel hard at 10 weeks pregnant
baby	should toddlers drink soda
baby	should babies crawl or sit first
baby	should babies wear t shirts
baby	should newborns sleep during the day
